file,entropy,equal,ahp,critic,entropy_rank,equal_rank,ahp_rank,critic_rank
1_12_55_2025-06-10-12-56-07.830389.csv,0.9824416783140154,0.9722222222222222,0.984346712913555,0.9750258395133666,72.0,82.5,71.0,79.0
1_14_00_2025-06-10-14-01-23.954704.csv,0.9925026874258891,0.9909420289855072,0.992616476094338,0.9913771028833199,27.0,28.0,32.0,27.0
1_14_10_2025-06-10-14-11-54.009229.csv,0.9776099204000124,0.9698275862068966,0.9792345186398272,0.9718324833219566,82.0,87.0,82.0,85.0
1_14_25_2025-06-10-14-26-26.717487.csv,0.9858226443250218,0.9799465240641712,0.9873951854210515,0.9813869415403033,55.0,64.0,55.0,59.0
1_14_55_2025-06-10-14-56-26.191786.csv,0.99423341184579,0.9951690821256038,0.9949211039888957,0.9946022690335538,24.0,19.0,24.0,23.0
1_15_45_2025-06-10-15-46-17.359472.csv,0.9918061165465405,0.987037037037037,0.9926951326929924,0.9883453917729045,32.0,40.0,31.0,37.0
1_15_50_2025-06-10-15-51-15.459097.csv,0.9667316010160292,0.9473684210526316,0.9703411402572623,0.9526805380253264,96.0,100.0,97.0,99.0
1_16_15_2025-06-10-16-16-17.488680.csv,0.9871315709943167,0.9888888888888889,0.9877954146522523,0.9880501460136216,50.0,33.0,52.0,38.0
1_16_55_2025-06-10-16-56-08.138056.csv,0.9841568356639093,0.9817073170731708,0.9859736498212239,0.9818900304986228,61.0,59.0,61.0,58.0
1_17_30_2025-06-10-17-31-08.619240.csv,0.9923536341044906,0.9879032258064516,0.9931832459462256,0.9891241559171113,28.0,37.0,28.0,33.0
1_18_40_2025-06-10-18-42-32.044490.csv,0.9831140798889684,0.9810606060606061,0.9841728479374143,0.9813807959655607,67.0,61.0,72.0,60.0
1_20_40_2025-06-10-20-41-19.669766.csv,0.9850919910213338,0.9764150943396227,0.9867094732284901,0.9787955241151226,57.0,73.0,57.0,70.0
1_23_35_2025-06-10-23-36-37.885489.csv,0.9666640488873596,0.9696969696969697,0.9706051731989644,0.9672438316778249,97.0,88.0,96.0,91.0
